name,raceID,track,time,placing,points
Emule,1,Mansion,2:46.689,4,2
Emule,2,Mexico,2:04.933,1,7
Emule,3,Volcano,2:39.096,6,0
Emule,4,Enterprise,2:50.328,1,7
