name,raceID,track,time,placing,points
Puffy,1,Mansion,2:45.102,2,5
Puffy,2,Mexico,2:07.665,2,5
Puffy,3,Volcano,2:35.332,4,2
Puffy,4,Enterprise,3:22.164,6,0
