name,raceID,track,time,placing,points
Amanda,1,Mansion,3:02.868,6,0
Amanda,2,Mexico,2:16.683,6,0
Amanda,3,Volcano,2:33.491,3,3
Amanda,4,Enterprise,2:59.084,4,2
