name,raceID,track,time,placing,points
Nolok,1,Mansion,2:45.829,3,3
Nolok,2,Mexico,2:13.530,5,1
Nolok,3,Volcano,2:29.333,1,7
Nolok,4,Enterprise,3:04.818,5,1
